"req_id";"name";"comm";"pay";"fair";"fast";"reviews";"tos_flags";"hit";"X";"speed";"hprice";"price";"time";"title";"desc";"max";"maxlog";"meanspeed";"varspeed";"ldesc";"ltitle"
"A006153821C819I8MVQC9";"Justin Kline";5;2,78;4,5;2,63;12;0;"230LIBYTNN1R357VBJWBVJTWM3572G";69;0,0932539682539683;0,05;0,05;3600;"Find Social Media Accounts";"Given the blogger&#39;s website, we need you to find their social media account handles";781;2,8926510338773;-0,093812375249501;5,83103672173725;87;26
"A11EZIJOALW5LP";"Jon Bender";3,67;4;4,56;4,89;9;0;"2ZSQUQIHPCGLZICNYGN55H0MYT0068";55;0,0264641658247238;0,16;0,12;2700;"Look up artist Myspace page.";"Using the given artist name, search online for artist official myspace page.";928;2,96754797621886;-0,0264736567553469;1,61976240576223;76;28
"A11EZIJOALW5LP";"Jon Bender";3,67;4;4,56;4,89;9;0;"2J23QP6AUC28ALGTNEO330FN9GP18R";56;0,0967939868077926;0,16;0,12;2700;"Look up artist Facebook page.";"Given the artist name, search online for artist official facebook page.";854;2,931457870689;-0,0968385512584408;5,83271627579988;71;29
"A11Q0CIHWJOM3W";"Sarah Ware";1;2;2;3;6;0;"2KGW3K4F0OHOAN9MZDBOAL97LNK01I";29;0,820101681658193;0,2;0,1;1800;"Find email addresses for bloggers";"Find blogger email addresses";2602;3,41530729222557;-0,820422535211268;103,869842731299;28;33
"A11Q0CIHWJOM3W";"Sarah Ware";1;2;2;3;6;0;"2PBXCNHMVHVKRF8JI0T7CJ7ENV1132";84;0,0535770071852546;0,1;0,05;1800;"Find email addresses for bloggers";"Find blogger email addresses";581;2,76417613239033;-0,0535268414481898;2,91668444507657;28;33
"A12J6JXK08EKZI";"Michael Taft";3;3,14;3;3,83;7;0;"2IUC1QP6AUC27Z71JHSXBV0KQ5C07J";25;0,884894991922456;0,428571428571429;0,05;420;"Find a person&#39;s email address";"Given information about a person at a college, find their email address";2948;3,46952747918701;-0,885252525252525;81,1120637027206;71;33
"A12J6JXK08EKZI";"Michael Taft";3;3,14;3;3,83;7;0;"2KYZBAT2D5NQZ9WAFURJO5T3TOI265";11;0,494839007857033;0,428571428571429;0,05;420;"Find a person&#39;s job title";"Given information about a person at a college, find their job title";4962;3,69565675993619;-0,494991524117738;42,6788680844506;67;29
"A12J6JXK08EKZI";"Michael Taft";3;3,14;3;3,83;7;0;"2FH56XBAT2D5OCPIHJUQ8JGAZ3R408";38;0,288349514563107;0,257142857142857;0,03;420;"Find a person&#39;s email address";"Given information about a person at a college, find their email address";1621;3,20978301484852;-0,289982425307557;21,0728607143741;71;33
"A12VM2PICN1TKA";"";NA;NA;NA;NA;NA;NA;"2E3PVP3TVOK5W6MOZFYQOOZHYYT14B";57;0,137035819914558;0,3;0,05;600;"Create a list of words that describes a given Movie";"Given the title of a movie, you need to create a list at least 4 words that could be associated with the movie.";945;2,97543180850926;-0,137080867850099;13,93037241234;111;51
"A15LYUJ2C3W7XO";"Maya Sappelli";5;5;3;5;4;0;"279O8JIA0RYRR0U0U3D0GBMJXVM05B";27;2,91089108910891;0,2;0,05;900;"Categorizing user&#39;s context";"Describe the topic of the content you are seeing";2826;3,45117215751254;-2,91089108910891;914,640396039604;48;31
"A19UJ67EFC2JCG";"Diffeo MechTurk Admin";0;2,33;5;4,33;3;0;"2BIKHPCGJ2D72XFY0W80UPPSMAL39J";37;0,0303030303030303;0,05;0,05;3600;"Identify Restaurant Reviews";"Is a webpage a review of a restaurant? Does it mention the restaurant?";1897;3,27806733088866;-0,0303130511463845;1,06650963099573;70;27
"A1A6TPV9VWM29C";"";NA;NA;NA;NA;NA;NA;"2KLXOK5UFJ51YH9HAH6YZS1EXWO96I";78;0,0276710222905457;0,02;0,1;18000;"Find the email address for these school teachers";"Given the school and teacher information, find the email address for these teachers who came on our field trip";637;2,80413943233535;-0,027681660899654;2,84049404075356;110;48
"A1I1QVJY5US86U";"Luke Devall";0;0;0;0;1;0;"2IUC1QP6AUC8P2HX4MSXDV0GS8H07N";48;0,0203283815480844;0,03;0,03;3600;"Find email addresses of Article Authors";"Find email an email address for the author that wrote the online news article";1155;3,06258198422816;-0,0203442879499218;6,66127260013985;77;39
"A1L37L5YOELYJB";"Chief Ingredient";0;5;5;5;1;0;"259QVR14IXKQY67NFZ3WK6X47QE98O";60;0,027830248079587;0,18;0,09;1800;"Find Contact Information for this Company";"Given a company name, find the company phone number and website URL";930;2,96848294855394;-0,0278723672594274;2,12904756991023;67;41
"A1LWI1809TP5XH";"Michael W. Passey";0;4,2;5;4,4;5;0;"26V8XBAT2D5NR5IQGEH0QG5XYQV15Y";91;1,34074074074074;1,8;0,3;600;"Find the Website and Email Address for Restaurants";"Given the restaurant/business information, find the email address for the business, URL for their official website, and Open Table URL (if applicable).";499;2,69810054562339;-1,34074074074074;36,4781609195402;151;50
